red velvet plum 3229  :  1u 100g 60c
Reese's peanut butter creme egg  :  1 34g 180c
Rogelio mole Oaxaqueno artesanal paste  :  2T 28g 150c
Safoco egg noodles  :  1C 100g 360c
salted caramel dark chocolate bon-bon  :  2pc 38g 120c
Sambal Oelek  :  1t 5g 0c
Sargento 4 cheese Mexican  :  4T 28g 80c
SCORE cheesy salsa Mexicana  : 18T 301g 225c
SCORE Pad Thai sauce :  19T 332g 590c
SCORE sweet chili  :  16T 279g 231c
shaoxing cooking wine  :  2T 30g 32c
Sheng Kee Bakery pineapple mini moon cake  :  1pc 68g 249c
Sheng Kee Bakery taro mochi pastry  :  1pc 50g 194c
shrimp 13-15 ct  :  1u 100g 110c
shrimp 90-110 ct  :  18 85g 90c
Sierra Honey plum  :  1 71g 35c 0.7p
Signature Select lite coconut milk 17g/T  :  5.3T 91g 50c
Signature Select pink salmon  :  0.33C 85g 100c
Signature Select SW style sweet & spicy mustard  :  1t 5g 10c
Silk unsweet vanilla almond milk  :  1C 256g 30c
Silk unsweet vanilla cashew milk  :  1C 256g 25c
Sinbo fried shallot  :  1T 4g 15c
Sir Kensington chipotle mayo  :  1T 13g 90c
smoked pork chop (boneless)  :  1u 113g 107c
snow fungus  :  23g 40g 5c
Special K Chocolatey Delight  :  1C 42g 160c
Spice World ginger paste  :  1t 5g 15c
steamed rice  :  1C 158g 205c
Sumo orange 3632  :  1u 235g 147c
sunflower seeds  :  4T 28g 190c 6p
Sunnyside Farms liquid egg substitute  :  3T 45g 25c
Sunnyside Farms unsweet almond milk  :  1C 256g 35c
Sunsweet chopped dates  : 4T 40g 130c
sweet paprika  :  1t 2.8g 6c
Swerve BSR  :  1T 16g 0c
Swerve CSR  :  1T 12g 0c
Swerve SR  :  1T 14g 0c
tamales de queso  :  1 200g 250c
Think! chocolate & creme cupcake high protein bar  :  1b 65g 250c
Tillamook Mudslide ice cream  :  1C 143g 390c
Tillamook Oregon Dark Cherry ice cream  :  1C 146g 312c
Tostitos salsa con queso  :  2T 34g 40c
